id 	 label 	 feature
550	bin550	nuclear_DNA
551	bin551	nuclear_DNA
552	bin552	nuclear_DNA
553	bin553	nuclear_DNA
554	bin554	nuclear_DNA
555	bin555	nuclear_DNA
556	bin556	nuclear_DNA
557	bin557	nuclear_DNA
558	bin558	telomere
559	bin559	telomere
560	bin560	telomere
561	bin561	telomere
562	bin562	nuclear_DNA
563	bin563	nuclear_DNA
564	bin564	nuclear_DNA
565	bin565	nuclear_DNA
566	bin566	nuclear_DNA
567	bin567	nuclear_DNA
568	bin568	nuclear_DNA
569	bin569	nuclear_DNA
570	bin570	nuclear_DNA
571	bin571	nuclear_DNA
572	bin572	nuclear_DNA
573	bin573	nuclear_DNA
574	bin574	nuclear_DNA
575	bin575	nuclear_DNA
576	bin576	nuclear_DNA
577	bin577	nuclear_DNA
578	bin578	nuclear_DNA
579	bin579	nuclear_DNA
580	bin580	nuclear_DNA
581	bin581	nuclear_DNA
582	bin582	nuclear_DNA
583	bin583	nuclear_DNA
584	bin584	nuclear_DNA
585	bin585	nuclear_DNA
586	bin586	nuclear_DNA
587	bin587	nuclear_DNA
588	bin588	nuclear_DNA
589	bin589	nuclear_DNA
590	bin590	nuclear_DNA
591	bin591	nuclear_DNA
592	bin592	nuclear_DNA
593	bin593	nuclear_DNA
594	bin594	nuclear_DNA
595	bin595	nuclear_DNA
596	bin596	nuclear_DNA
597	bin597	nuclear_DNA
598	bin598	nuclear_DNA
599	bin599	nuclear_DNA
600	bin600	nuclear_DNA
601	bin601	nuclear_DNA
602	bin602	nuclear_DNA
603	bin603	nuclear_DNA
604	bin604	nuclear_DNA
605	bin605	nuclear_DNA
606	bin606	nuclear_DNA
607	bin607	nuclear_DNA
608	bin608	nuclear_DNA
609	bin609	nuclear_DNA
610	bin610	nuclear_DNA
611	bin611	nuclear_DNA
612	bin612	nuclear_DNA
613	bin613	nuclear_DNA
614	bin614	nuclear_DNA
615	bin615	nuclear_DNA
616	bin616	nuclear_DNA
617	bin617	nuclear_DNA
618	bin618	nuclear_DNA
619	bin619	nuclear_DNA
620	bin620	nuclear_DNA
621	bin621	nuclear_DNA
622	bin622	nuclear_DNA
623	bin623	nuclear_DNA
624	bin624	nuclear_DNA
625	bin625	nuclear_DNA
626	bin626	nuclear_DNA
627	bin627	nuclear_DNA
628	bin628	nuclear_DNA
629	bin629	nuclear_DNA
630	bin630	nuclear_DNA
631	bin631	nuclear_DNA
632	bin632	nuclear_DNA
633	bin633	nuclear_DNA
634	bin634	nuclear_DNA
635	bin635	nuclear_DNA
636	bin636	nuclear_DNA
637	bin637	nuclear_DNA
638	bin638	nuclear_DNA
639	bin639	nuclear_DNA
640	bin640	nuclear_DNA
641	bin641	nuclear_DNA
642	bin642	nuclear_DNA
643	bin643	nuclear_DNA
644	bin644	nuclear_DNA
645	bin645	nuclear_DNA
646	bin646	nuclear_DNA
647	bin647	nuclear_DNA
648	bin648	nuclear_DNA
649	bin649	nuclear_DNA
650	bin650	nuclear_DNA
651	bin651	nuclear_DNA
652	bin652	nuclear_DNA
653	bin653	nuclear_DNA
654	bin654	nuclear_DNA
655	bin655	nuclear_DNA
656	bin656	nuclear_DNA
657	bin657	nuclear_DNA
658	bin658	nuclear_DNA
659	bin659	nuclear_DNA
660	bin660	nuclear_DNA
661	bin661	nuclear_DNA
662	bin662	nuclear_DNA
663	bin663	nuclear_DNA
664	bin664	nuclear_DNA
665	bin665	nuclear_DNA
666	bin666	nuclear_DNA
667	bin667	nuclear_DNA
668	bin668	nuclear_DNA
669	bin669	nuclear_DNA
670	bin670	nuclear_DNA
671	bin671	nuclear_DNA
672	bin672	nuclear_DNA
673	bin673	nuclear_DNA
674	bin674	nuclear_DNA
675	bin675	nuclear_DNA
676	bin676	nuclear_DNA
677	bin677	nuclear_DNA
678	bin678	nuclear_DNA
679	bin679	nuclear_DNA
680	bin680	nuclear_DNA
